Member,Owner
libmpack/libmpack,"tarruda/Algoritmos,tarruda/archdb,tarruda/backbone-deep-model,tarruda/backbone-jquerymobile,tarruda/beets,tarruda/better-sqlite3,tarruda/bootstrap-datetimepicker,tarruda/brightray,tarruda/buffer-prefix-range,tarruda/busted,tarruda/check,tarruda/classic,tarruda/closure-externs,tarruda/CodeMirror,tarruda/coffeelint-camel-case-vars,tarruda/coffeelint-no-explicit-parens,tarruda/coffeelint-no-implicit-returns,tarruda/consolidate.js,tarruda/continuum,tarruda/debian-packages,tarruda/DefinitelyTyped,tarruda/deps,tarruda/dot-files,tarruda/electron,tarruda/encfs,tarruda/es6transform,tarruda/escope,tarruda/esprima,tarruda/evio,tarruda/expect.js,tarruda/git,tarruda/gitter-irc-bot,tarruda/grunt-coffee-build,tarruda/grunt-contrib-watch,tarruda/grunt-exec-jshint,tarruda/grunt-init-js-commonjs,tarruda/grunt-init-node-browser-commonjs,tarruda/grunt-mocha-debug,tarruda/grunt-traceur-build,tarruda/gulp,tarruda/gulp-typescript,tarruda/has,tarruda/hashlanguage,tarruda/haskell-v8,tarruda/hogan.js,tarruda/homebrew-neovim,tarruda/hone.js,tarruda/hunter,tarruda/hyde,tarruda/i3ipc-python,tarruda/istype,tarruda/jquery,tarruda/jquery-to-json,tarruda/jquery-validation,tarruda/jquery.maskedinput,tarruda/jquery.terminal,tarruda/kupfer,tarruda/libchromiumcontent,tarruda/libuv,tarruda/lodash-inspect,tarruda/lua-client,tarruda/lua-MessagePack,tarruda/luv,tarruda/MaidSafe,tarruda/MemoryModule,tarruda/mkdeb,tarruda/mkosi,tarruda/mobipick,tarruda/mocha,tarruda/model.js,tarruda/msgpack-c,tarruda/msgpack-js,tarruda/msgpack5,tarruda/mustache.js,tarruda/neomake,tarruda/neovim,tarruda/neovim-deps,tarruda/neovim.as,tarruda/neovim.github.io,tarruda/nexe,tarruda/node,tarruda/node-browser-resolve,tarruda/node-daemonify,tarruda/node-deflate,tarruda/node-extensible,tarruda/node-extensible-promisify,tarruda/node-flask-router,tarruda/node-git-core,tarruda/node-git-remote,tarruda/node-leveldown,tarruda/node-libyaml,tarruda/node-msgpack5rpc,tarruda/node-nodb,tarruda/node-pac-proxy-agent,tarruda/node-phantomjs-wrapper,tarruda/node-postgres,tarruda/node-sqli,tarruda/node-sqlite3,tarruda/node-threads-a-gogo,tarruda/node-webkit,tarruda/node-xargs,tarruda/notmuch-vim-ruby,tarruda/nvm,tarruda/object-create,tarruda/object-define-property,tarruda/oh-my-zsh,tarruda/orderly,tarruda/pinax-starter-app,tarruda/powerbuild,tarruda/premake-core,tarruda/premake-export-compile-commands,tarruda/premake-pkgconfig,tarruda/premake-platform-test,tarruda/project-gh-page-simple,tarruda/python-autopxd,tarruda/python-client,tarruda/python-fclist,tarruda/python-remote-pdb,tarruda/python-ush,tarruda/revalidator,tarruda/riml,tarruda/rivets,tarruda/run-mocha,tarruda/s-pipe,tarruda/sagemfast1704-buildroot,tarruda/slimux,tarruda/sourcemap-to-ast,tarruda/spark,tarruda/squel,tarruda/super-json,tarruda/syntastic,tarruda/tarruda.github.io,tarruda/testcookie-nginx-module,tarruda/testling,tarruda/tmuxer,tarruda/typescript,tarruda/URLON,tarruda/uvbook,tarruda/VBoxTrayIcon,tarruda/vim,tarruda/vim-addon-local-vimrc,tarruda/vim-coffee-script,tarruda/vim-conque-repl,tarruda/vim-files,tarruda/vinyl-browserify,tarruda/vm.js,tarruda/vroom,tarruda/watchify,tarruda/wpas,tarruda/xerox,tarruda/yaml.node,tarruda/ycmd,tarruda/yieldify,tarruda/YouCompleteMe,tarruda/zoomwintab.vim,tarruda/zsh-fuzzy-match"
"deprecate/steel-avatar,deprecate/steel-cell-deprecated,deprecate/steel-dropdown,deprecate/steel-loader,deprecate/steel-modal,deprecate/steel-sidebar,deprecate/steel-tooltip,deprecate/steel-topbar,deprecate/steel-treeview,eduardolundgren/alloy-ui,eduardolundgren/madvoc-route,howtographql/graphql-js,metal/babel-preset-metal,metal/gulp-soynode,metal/metal-cli,metal/metal-examples,metal/metal-flux,metal/metal-karma-config,metal/metal-react,metal/metal-redux,metal/metal-tools-build-amd,metal/metal-tools-build-globals,metal/metal-tools-build-jquery,metal/metal-tools-soy,metal/metal-training,metal/metal.js,zenorocha/browser-calories","mairatma/alloy-ui,mairatma/alloyui.com,mairatma/apollo-client,mairatma/babel-deps,mairatma/babel-globals,mairatma/babel-globals-module-formatter,mairatma/babel-plugin-closure-module,mairatma/babel-plugin-globals,mairatma/babel-plugin-import-alias-bower,mairatma/babel-plugin-import-alias-npm,mairatma/babel-plugin-incremental-dom,mairatma/babel-plugin-metal-register-components,mairatma/boilerplate-hosting,mairatma/browser-calories-chrome,mairatma/browserify-imports-renamer,mairatma/campaign-manager,mairatma/campaign-manager-jsx,mairatma/closure-templates,mairatma/devcon2015,mairatma/es6-imports-renamer,mairatma/es6-module-transpiler-globals-formatter,mairatma/gulp-babel-deps,mairatma/gulp-babel-globals,mairatma/gulp-es6-imports-renamer,mairatma/gulp-es6-module-transpiler,mairatma/gulp-esformatter,mairatma/gulp-metal,mairatma/gulp-soynode,mairatma/howtographql,mairatma/html2incdom,mairatma/incremental-dom,mairatma/jquery-modal,mairatma/lexicon-dropdown,mairatma/liferay-portal,mairatma/madvoc-route,mairatma/maternidade,mairatma/metal-boilerplate,mairatma/metal-component,mairatma/metal-css-transitions,mairatma/metal-dom,mairatma/metal-draft,mairatma/metal-events,mairatma/metal-flux-app,mairatma/metal-flux-todo,mairatma/metal-incremental-dom,mairatma/metal-jsx,mairatma/metal-jsx-modal,mairatma/metal-lerna,mairatma/metal-soy,mairatma/metal-soy-inc-dom-renderer,mairatma/metal-state,mairatma/metal-state-validators,mairatma/metal-tasks,mairatma/metal-tools-test,mairatma/metal.js,mairatma/modal,mairatma/opensource,mairatma/perf,mairatma/senna-img-bug,mairatma/senna.js,mairatma/sennajs.com,mairatma/soynode,mairatma/soyparser,mairatma/starter-kit,mairatma/steel-api,mairatma/steel-bootstrap,mairatma/tasks,mairatma/test-incremental-dom,mairatma/tracking.js,mairatma/trackingjs.com,mairatma/udportfolio,mairatma/ui-kit,mairatma/workshop-metal,mairatma/yui3"
"acmh/maecoruja,Cisneiros/projeto-anfa,demianborba/phonegapbootcampsite,DevFestNordeste/DevFestNordeste.github.io,gustavopinto/hello-curiosity,juarezpaf/google-io-here-we-go","joselitojunior1/abigobaldo-nunes-adventures,joselitojunior1/abuso-e-crime,joselitojunior1/aprendaangular2.online,joselitojunior1/areyousureyouwannareplytoall,joselitojunior1/awesome-github,joselitojunior1/awesome-nearables,joselitojunior1/awesome-webcomponents,joselitojunior1/bootcamp-finder,joselitojunior1/braziljs.org,joselitojunior1/browser-laptop,joselitojunior1/castgram,joselitojunior1/codeinthedark.github.io,joselitojunior1/codelabs,joselitojunior1/dieta-buddy,joselitojunior1/documentation,joselitojunior1/dotfiles,joselitojunior1/electron-pocket-casts,joselitojunior1/elixirminiconf,joselitojunior1/emoji-cheat-sheet.com,joselitojunior1/facebook-chat-only,joselitojunior1/feedback,joselitojunior1/femug,joselitojunior1/gdg.link,joselitojunior1/google-io-here-we-go,joselitojunior1/guia-do-desenvolvedor,joselitojunior1/hackathon-globo,joselitojunior1/hackatometro,joselitojunior1/HEAD,joselitojunior1/hojeesextacheira.online,joselitojunior1/ionic-native,joselitojunior1/ionic-starter-super,joselitojunior1/ionicbrazil.com,joselitojunior1/manguezal.github.com,joselitojunior1/noti,joselitojunior1/offline-first,joselitojunior1/openbay,joselitojunior1/partners-list,joselitojunior1/phonegap-intelliJ-plugin,joselitojunior1/piroca,joselitojunior1/porreta,joselitojunior1/preact-www,joselitojunior1/responsive-embed,joselitojunior1/self-checkin,joselitojunior1/slack-list-brazil,joselitojunior1/talk-addons-mozilla,joselitojunior1/twitter-realtime-voting,joselitojunior1/uBlock,joselitojunior1/vim-cheat-sheet,joselitojunior1/WebFundamentals-ptbr,joselitojunior1/write-code-every-day,joselitojunior1/You-Dont-Need-jQuery,joselitojunior1/ypsum"
"irgmedeiros/TCCRecommender,jg1141/Open-Allure-DS","marcelcaraciolo/apontador-api-libs,marcelcaraciolo/bcbio-nextgen,marcelcaraciolo/big-data-tutorial,marcelcaraciolo/bigdata-tutorial-2014,marcelcaraciolo/chanjo,marcelcaraciolo/cloudbiolinux,marcelcaraciolo/clustering_pythonbrasil,marcelcaraciolo/clustering_scipy,marcelcaraciolo/codingdojo_pythonscience,marcelcaraciolo/cosmid,marcelcaraciolo/crab,marcelcaraciolo/crab-1,marcelcaraciolo/deepjewel-python-api,marcelcaraciolo/django-react-boilerplate,marcelcaraciolo/foursquare,marcelcaraciolo/Fuzzy-Python-Tuner,marcelcaraciolo/genomics,marcelcaraciolo/Geo-Friendship-Visualization,marcelcaraciolo/ggd,marcelcaraciolo/IWantToWorkAtGloboCom,marcelcaraciolo/Lembreteiro,marcelcaraciolo/manguezal.github.com,marcelcaraciolo/mHIS,marcelcaraciolo/nextgen-pipeline,marcelcaraciolo/ngs-course.github.io,marcelcaraciolo/pandas-tutorial,marcelcaraciolo/pugpe_challenge,marcelcaraciolo/pyBusinesses-BR,marcelcaraciolo/PyKlout,marcelcaraciolo/PYLONS,marcelcaraciolo/pypln,marcelcaraciolo/pypso,marcelcaraciolo/pyrecommender,marcelcaraciolo/PyROC,marcelcaraciolo/recommendable,marcelcaraciolo/recsys-mapreduce-mrjob,marcelcaraciolo/scikit-learn,marcelcaraciolo/scout,marcelcaraciolo/SMS-Email-GoogleCalendar-Reporter,marcelcaraciolo/treinamentogit,marcelcaraciolo/Tweet-Talk"
"andrezap/analise_expressao_genica,andrezap/arvoresLP2,andrezap/IlicitaApp,IgorMarques/SlackAndGemsCounter,IgorMarques/StackOverflowUserChecker,maximiliano/curso-python,peritoeconomista/mouraoadvocacia,peritoeconomista/site,peritoeconomista/valorefetivo,Smartwork-Sebrae/web","luanfonceca/168horas,luanfonceca/4stoq,luanfonceca/af-python-django,luanfonceca/Ajax-Bootstrap-Select,luanfonceca/alchy,luanfonceca/associados,luanfonceca/awesome-django,luanfonceca/Blueprint-VerticalTimeline,luanfonceca/boca,luanfonceca/Bootstrap-Form-Builder,luanfonceca/bootstrap-map,luanfonceca/bootstrapx-clickover,luanfonceca/c2-engenharia,luanfonceca/cepy,luanfonceca/Clairvoyant,luanfonceca/colorprint,luanfonceca/crate.io,luanfonceca/curso-evolux,luanfonceca/defprogramming,luanfonceca/delas,luanfonceca/demos,luanfonceca/django-aggregate-if,luanfonceca/django-appfog-helloworld,luanfonceca/django-autoload-fixtures,luanfonceca/django-bootstrap-toolkit,luanfonceca/django-bootstrap3,luanfonceca/django-code-guide,luanfonceca/django-discover-runner,luanfonceca/django-dynamic-finder,luanfonceca/django-first-step,luanfonceca/django-flattenfields-usage,luanfonceca/django-generator,luanfonceca/django-hstore-flattenfields,luanfonceca/django-ibge,luanfonceca/django-mongoadmin,luanfonceca/django-mongodbforms,luanfonceca/Django-Q-A,luanfonceca/django-queryset-csv,luanfonceca/django-react-boilerplate,luanfonceca/django-report-builder,luanfonceca/django-simple-import,luanfonceca/django-storages,luanfonceca/django-tasks,luanfonceca/django-todolist,luanfonceca/django-vanilla-views,luanfonceca/djangobook,luanfonceca/djangoday,luanfonceca/djangonizr,luanfonceca/djansack,luanfonceca/Doxytrap,luanfonceca/econet,luanfonceca/electron-markdownify,luanfonceca/epydoc-themes,luanfonceca/fixit,luanfonceca/flaskbook,luanfonceca/flot,luanfonceca/GerConsult,luanfonceca/gestoque,luanfonceca/gnucash-android,luanfonceca/heroku_werldj,luanfonceca/hstore-field,luanfonceca/iTerm-colors,luanfonceca/jarbas,luanfonceca/Jquery-Price-Format,luanfonceca/jukebox,luanfonceca/kuma,luanfonceca/lablist,luanfonceca/LCC-to-python,luanfonceca/leitech,luanfonceca/lista-programacao,luanfonceca/luanblog,luanfonceca/macaxeira-jazz,luanfonceca/made-in-brazil,luanfonceca/Magic_Buffet,luanfonceca/markup,luanfonceca/mining,luanfonceca/mittun,luanfonceca/mostra-de-profissoes,luanfonceca/my4chan,luanfonceca/ngDatepicker,luanfonceca/nodeunit,luanfonceca/ogiganteacordou,luanfonceca/oxente,luanfonceca/persona,luanfonceca/portfolio,luanfonceca/pyboleto,luanfonceca/pybr,luanfonceca/pycco,luanfonceca/pyramid_todo_half,luanfonceca/python-github-projects,luanfonceca/python-na-educacao,luanfonceca/python-orientado-a-objetos,luanfonceca/pythonday,luanfonceca/pythondotorg,luanfonceca/redisco-blog,luanfonceca/Rest,luanfonceca/sails-contacts,luanfonceca/series,luanfonceca/smallactsmanifesto,luanfonceca/speakerfight,luanfonceca/sqlalchemy-django-query,luanfonceca/tdh,luanfonceca/telemob,luanfonceca/tg2devtools,luanfonceca/theoffice,luanfonceca/todolist_template_files,luanfonceca/Unstarted-Ideas,luanfonceca/usr_handlr,luanfonceca/ViPeople,luanfonceca/waffle.io,luanfonceca/waffle2shields,luanfonceca/work-at-olist,luanfonceca/www.opencompany.org"
"DarthHugh/Scream,IndyPaula/HumQueCaro,IndyPaula/ProjetoHumQueCaro,Widancassio/ProjetoBiblioteca,Widancassio/SISAP","deividazevedo2/AprendendoPHP,deividazevedo2/cosmetics-software,deividazevedo2/flashlight,deividazevedo2/git-101,deividazevedo2/infosaude-atendimento-clinico,deividazevedo2/Projeto-SISAP,deividazevedo2/ProjetoBiblioteca,deividazevedo2/ProjetoHumQueCaro,deividazevedo2/qNota,deividazevedo2/RemindersSystem,deividazevedo2/residencia,deividazevedo2/Scream,deividazevedo2/SISAP,deividazevedo2/Sistema-de-Lembretes,deividazevedo2/SITE_CHAVES,deividazevedo2/SundaySchool,deividazevedo2/Teste"
maregito/gerenciador,"gileno/analise-dados-imobiliarios,gileno/API-3.0-Python,gileno/associados,gileno/aulas-poli,gileno/brincando-de-cientista-com-python,gileno/camaradosdeputados,gileno/certificate,gileno/configuration,gileno/correios,gileno/cpnatal2018,gileno/cpr2015,gileno/curso-amadeus,gileno/curso-citi,gileno/curso-scrapy-aulas,gileno/datasciencebot,gileno/desafio-python-imd,gileno/django-classbasedviews,gileno/django-role-permissions,gileno/django-signals-examples,gileno/django-sortable,gileno/django-template-project,gileno/djangoecommerce,gileno/djangoevents,gileno/edx-platform,gileno/encontroxxvi-python-excel,gileno/flask-template,gileno/flisol2018,gileno/fpftech,gileno/free-scale-network,gileno/free-time.github.io,gileno/geoda,gileno/geraldo,gileno/gileno.github.io,gileno/Hub-de-Comunidades,gileno/lighttalk-pyne2016,gileno/maratona-ip-si,gileno/mcc_vision,gileno/notebooks,gileno/offline-web-framework,gileno/palestra_xx_encontro,gileno/pizzadjango,gileno/poticon,gileno/pugpe-45,gileno/pugpe36,gileno/pugpe43,gileno/pugpe47,gileno/pybr2017,gileno/pyBusinesses-BR,gileno/pycursos.github.io,gileno/pyne2018,gileno/python-firebase,gileno/python-pagseguro,gileno/python-pdf-samples,gileno/sample_project,gileno/scrapy-olx,gileno/simple-jquery-select-multiple,gileno/sofia,gileno/talk-generic-views,gileno/talk-pytesser-pyne,gileno/tapioca-github,gileno/tapioca-wrapper,gileno/tutorial-pyne2016,gileno/tutorialpyne2017,gileno/urlshortener,gileno/website-scipyla2016,gileno/workshop-fase"
"afonsopacifer/css-grid-layout-manual,CodeMigas/por-dentro-do-github,ElsonBarcelos/Enquete,sergiockd/ProjetoEcomerce,wwcoderecife/SiteLions","simoneas02/2017-goals,simoneas02/2018-goals,simoneas02/awesome,simoneas02/awesome-grid-layout,simoneas02/awesome4girls,simoneas02/beta-contrata,simoneas02/br.vuejs.org,simoneas02/code-style-guide,simoneas02/contracts-list,simoneas02/crazy-learning,simoneas02/css-grid-layout-manual,simoneas02/desafio-frontend,simoneas02/dev-beers,simoneas02/dev-cars,simoneas02/femug,simoneas02/gridgarden,simoneas02/iloveit_boilerplate,simoneas02/javascript30,simoneas02/JS,simoneas02/js-ninja,simoneas02/js-todo,simoneas02/livecode-frontInCampinas,simoneas02/made-with-heart,simoneas02/mulheres-palestrantes,simoneas02/my-first-blog,simoneas02/react-alarm-clock,simoneas02/react-calendar,simoneas02/react-cheatsheet,simoneas02/react-library,simoneas02/react-todo,simoneas02/react-weather,simoneas02/servicos-digitais,simoneas02/servicos-digitais__,simoneas02/simoneas02.github.io,simoneas02/vue-todo,simoneas02/womendevprojects,simoneas02/youtube-css-grid"
"tapanpandita/pocket,vintasoftware/django-apps-checklist","filipeximenes/batavia,filipeximenes/coursera-ml,filipeximenes/django-angular-jogging,filipeximenes/django-model-utils,filipeximenes/django-rest-framework,filipeximenes/django-rest-framework-docs,filipeximenes/django-role-permissions,filipeximenes/django-tenant-schemas,filipeximenes/dotfiles,filipeximenes/drftests,filipeximenes/easy_teach,filipeximenes/fades,filipeximenes/gridster_example,filipeximenes/hello-asyncio,filipeximenes/homebrew-1,filipeximenes/image_recognizing,filipeximenes/iSolate,filipeximenes/jquery-gridly,filipeximenes/lispy,filipeximenes/multitenancy,filipeximenes/oqueeaarteparaqueserve,filipeximenes/oxente,filipeximenes/puzzles,filipeximenes/pybay,filipeximenes/pytomba,filipeximenes/social-docs,filipeximenes/speakerfight,filipeximenes/stopwatch-for-coaches,filipeximenes/stroop_test,filipeximenes/talk-design-patterns,filipeximenes/talk-testing-web-apis,filipeximenes/tapioca-crunchbase,filipeximenes/tapioca-disqus,filipeximenes/tapioca-facebook,filipeximenes/tapioca-github,filipeximenes/tapioca-mandrill,filipeximenes/tapioca-meetup,filipeximenes/tapioca-otter,filipeximenes/tapioca-twitter,filipeximenes/tapioca-wrapper,filipeximenes/twython,filipeximenes/video_verifier"
"alessandroHenrique/coinpricemonitor,filipecmedeiros/TODO-list-single-page-application,joanasouza/todo-list,luanfonceca/lablist,luanfonceca/speakerfight,lucabezerra/DjangoTodoList,MaryCaroline/lc-todoapp,ParleyMartins/todo-django-react,SmarterAgent/angular-media-server","renatooliveira/authomatic,renatooliveira/celery-tasks-checklist,renatooliveira/coinpricemonitor,renatooliveira/ctx_free_grammar,renatooliveira/django,renatooliveira/django-dynamic-formset,renatooliveira/django-hstore-flattenfields,renatooliveira/django-migrations,renatooliveira/django-report,renatooliveira/dotfiles,renatooliveira/git-basics-tutorial,renatooliveira/learnc,renatooliveira/manguezal.github.com,renatooliveira/model_mommy,renatooliveira/musical,renatooliveira/my_sublime,renatooliveira/ogigante,renatooliveira/ogiganteacordou,renatooliveira/Palestras,renatooliveira/pugpe,renatooliveira/pyne2013,renatooliveira/pythonclub.github.io,renatooliveira/pythonic-tests-with-pytest,renatooliveira/speakerfight,renatooliveira/test_bug"
